"R0000100","R0000300","R0000500","R0173600","R0214700","R0214800","R0410100","R0410300","R0614800","R0614900","R0615100","R0615200","R0615300","R0615400","R0615700","R0618011","R0618017","R0618100","R0618200","R0618300","R0810200","R3127500","R3127800","R3401000","R3523200","R3523500","R3559000","R3656400","R3728200","R3728500","R3897100","R4006900","R4182300","R4295100","R4416800","R4418000","R4982800","R5079800","R5081000"
10732,9,60,15,3,1,9,60,51,1,21,31,13,47,9,54,43,56,74,54,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10733,11,57,19,2,2,11,57,51,1,11,23,8,35,8,40,41,44,26,22,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10734,4,60,18,3,2,4,60,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10735,10,58,20,1,2,10,58,51,1,15,30,9,30,12,46,48,52,39,44,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10736,12,57,18,3,2,12,57,51,1,9,33,8,21,8,38,41,54,27,35,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10737,7,58,15,3,1,7,58,51,1,18,23,12,45,10,50,44,48,49,37,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10738,3,59,15,3,1,3,59,51,0,26,34,10,37,15,61,52,56,75,71,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10739,8,59,15,3,1,8,59,51,1,21,28,5,30,11,54,46,46,39,39,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10740,11,59,16,2,1,11,59,51,1,10,10,5,22,6,39,38,29,7,6,1,-4,-4,8,1,700,0,1,1,650,12900,1,2,-2,-4,3,-2,750,1
10741,10,57,20,1,2,10,57,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10742,3,58,17,1,1,3,58,51,1,8,25,11,34,6,36,38,49,28,24,1,1,1101,2,1,1508,30000,1,1,1360,46000,1,1,42300,1538,1,65000,1044,1
10743,2,59,15,3,1,2,59,51,1,24,30,9,39,12,58,48,52,63,55,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10744,3,60,18,3,2,3,60,51,0,19,31,14,42,18,51,57,57,68,68,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10745,7,58,15,3,1,7,58,51,1,20,34,13,50,20,53,60,59,79,77,1,1,1620,1,1,1634,34000,1,1,-4,38000,1,1,37000,1778,1,38500,1826,1
10746,7,57,20,1,2,7,57,51,1,25,32,14,43,20,59,60,58,83,80,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10747,7,58,15,3,1,7,58,51,1,23,31,14,27,14,57,51,57,60,68,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10748,6,57,15,3,1,-5,-5,51,1,27,33,11,24,19,62,58,56,64,78,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10749,12,58,16,2,1,12,58,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,700,3,2,736,0,1,2,736,17000,1,1,6000,1120,1,-5,-5,-5
10750,5,57,15,3,1,5,57,51,0,25,28,15,41,12,59,48,55,75,63,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10751,1,59,18,3,2,-5,-5,51,1,12,30,12,42,11,42,46,54,48,42,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10752,8,58,18,3,2,8,58,51,1,21,32,12,49,19,54,58,56,75,70,2,2,826,1,2,996,17600,1,2,1105,24600,1,2,24600,1182,1,26000,1250,1
10753,8,58,15,3,1,8,58,51,1,17,33,12,26,9,49,43,57,48,52,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10754,12,57,16,2,1,12,57,51,1,16,26,12,43,17,47,55,51,49,50,1,1,1346,1,1,1000,27000,1,1,850,4800,3,-5,-5,-5,-5,-5,-5,-5
10755,12,58,15,3,1,12,58,51,1,13,32,10,20,5,43,37,54,32,35,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10756,6,58,15,3,1,6,58,51,1,27,34,13,45,21,62,62,59,91,87,1,-4,-4,8,-4,-4,0,8,-4,-4,0,8,-4,0,5500,8,20000,-4,8
10757,7,57,15,3,1,7,57,51,1,21,34,15,38,17,54,55,61,76,77,1,3,1423,1,3,1153,0,1,3,884,0,1,1,0,1162,1,14000,700,1
10758,8,57,15,3,1,8,57,51,1,28,34,13,50,22,64,63,59,94,90,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10759,4,59,15,3,1,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10760,9,57,15,3,1,9,57,51,0,7,20,9,30,5,35,37,42,18,15,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10761,1,58,15,3,1,1,58,51,1,22,34,14,33,14,55,51,60,72,72,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10762,1,59,15,3,1,1,59,51,0,10,33,9,33,7,39,40,54,38,35,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10763,1,58,15,3,1,1,58,51,1,21,35,13,38,12,54,48,60,74,68,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10764,8,58,15,3,1,8,58,51,1,24,33,11,32,21,58,62,56,67,78,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10765,5,58,17,1,1,5,58,51,1,11,26,8,41,12,40,48,47,33,31,1,-4,-4,8,-4,-4,0,8,-4,-4,0,8,-4,0,-4,8,0,-4,8
10766,1,60,17,1,1,1,60,51,0,18,29,13,49,14,50,51,54,65,54,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10767,6,59,15,3,1,6,59,51,1,14,22,10,42,12,45,48,45,35,32,1,1,1330,1,1,54000,28000,1,1,740,21000,1,1,17000,975,1,23000,1025,1
